SectionID,H,bf,tw,tf,Area,fyxArea
0,420,162,9,15,8370,2301750
0,420,162,9,15,8370,2971350
0,420,162,9,15,8370,3850200
1,420,162,9,20,9900,2722500
1,420,162,9,20,9900,3514500
1,420,162,9,20,9900,4554000
2,420,162,9,25,11430,3143250
2,420,162,9,25,11430,4057650
2,420,162,9,25,11430,5257800
3,420,162,12,15,9540,2623500
3,420,162,12,15,9540,3386700
3,420,162,12,15,9540,4388400
4,420,162,12,20,11040,3036000
4,420,162,12,20,11040,3919200
4,420,162,12,20,11040,5078400
5,420,162,12,25,12540,3448500
5,420,162,12,25,12540,4451700
5,420,162,12,25,12540,5768400
6,420,162,15,15,10710,2945250
6,420,162,15,15,10710,3802050
6,420,162,15,15,10710,4926600
7,420,162,15,20,12180,3349500
7,420,162,15,20,12180,4323900
7,420,162,15,20,12180,5602800
8,420,162,15,25,13650,3753750
8,420,162,15,25,13650,4845750
8,420,162,15,25,13650,6279000
9,420,216,9,15,9990,2747250
9,420,216,9,15,9990,3546450
9,420,216,9,15,9990,4595400
10,420,216,9,20,12060,3316500
10,420,216,9,20,12060,4281300
10,420,216,9,20,12060,5547600
11,420,216,9,25,14130,3885750
11,420,216,9,25,14130,5016150
11,420,216,9,25,14130,6499800
12,420,216,12,15,11160,3069000
12,420,216,12,15,11160,3961800
12,420,216,12,15,11160,5133600
13,420,216,12,20,13200,3630000
13,420,216,12,20,13200,4686000
13,420,216,12,20,13200,6072000
14,420,216,12,25,15240,4191000
14,420,216,12,25,15240,5410200
14,420,216,12,25,15240,7010400
15,420,216,15,15,12330,3390750
15,420,216,15,15,12330,4377150
15,420,216,15,15,12330,5671800
16,420,216,15,20,14340,3943500
16,420,216,15,20,14340,5090700
16,420,216,15,20,14340,6596400
17,420,216,15,25,16350,4496250
17,420,216,15,25,16350,5804250
17,420,216,15,25,16350,7521000
18,420,270,9,15,11610,3192750
18,420,270,9,15,11610,4121550
18,420,270,9,15,11610,5340600
19,420,270,9,20,14220,3910500
19,420,270,9,20,14220,5048100
19,420,270,9,20,14220,6541200
20,420,270,9,25,16830,4628250
20,420,270,9,25,16830,5974650
20,420,270,9,25,16830,7741800
21,420,270,12,15,12780,3514500
21,420,270,12,15,12780,4536900
21,420,270,12,15,12780,5878800
22,420,270,12,20,15360,4224000
22,420,270,12,20,15360,5452800
22,420,270,12,20,15360,7065600
23,420,270,12,25,17940,4933500
23,420,270,12,25,17940,6368700
23,420,270,12,25,17940,8252400
24,420,270,15,15,13950,3836250
24,420,270,15,15,13950,4952250
24,420,270,15,15,13950,6417000
25,420,270,15,20,16500,4537500
25,420,270,15,20,16500,5857500
25,420,270,15,20,16500,7590000
26,420,270,15,25,19050,5238750
26,420,270,15,25,19050,6762750
26,420,270,15,25,19050,8763000
27,560,162,9,15,9630,2648250
27,560,162,9,15,9630,3418650
27,560,162,9,15,9630,4429800
28,560,162,9,20,11160,3069000
28,560,162,9,20,11160,3961800
28,560,162,9,20,11160,5133600
29,560,162,9,25,12690,3489750
29,560,162,9,25,12690,4504950
29,560,162,9,25,12690,5837400
30,560,162,12,15,11220,3085500
30,560,162,12,15,11220,3983100
30,560,162,12,15,11220,5161200
31,560,162,12,20,12720,3498000
31,560,162,12,20,12720,4515600
31,560,162,12,20,12720,5851200
32,560,162,12,25,14220,3910500
32,560,162,12,25,14220,5048100
32,560,162,12,25,14220,6541200
33,560,162,15,15,12810,3522750
33,560,162,15,15,12810,4547550
33,560,162,15,15,12810,5892600
34,560,162,15,20,14280,3927000
34,560,162,15,20,14280,5069400
34,560,162,15,20,14280,6568800
35,560,162,15,25,15750,4331250
35,560,162,15,25,15750,5591250
35,560,162,15,25,15750,7245000
36,560,216,9,15,11250,3093750
36,560,216,9,15,11250,3993750
36,560,216,9,15,11250,5175000
37,560,216,9,20,13320,3663000
37,560,216,9,20,13320,4728600
37,560,216,9,20,13320,6127200
38,560,216,9,25,15390,4232250
38,560,216,9,25,15390,5463450
38,560,216,9,25,15390,7079400
39,560,216,12,15,12840,3531000
39,560,216,12,15,12840,4558200
39,560,216,12,15,12840,5906400
40,560,216,12,20,14880,4092000
40,560,216,12,20,14880,5282400
40,560,216,12,20,14880,6844800
41,560,216,12,25,16920,4653000
41,560,216,12,25,16920,6006600
41,560,216,12,25,16920,7783200
42,560,216,15,15,14430,3968250
42,560,216,15,15,14430,5122650
42,560,216,15,15,14430,6637800
43,560,216,15,20,16440,4521000
43,560,216,15,20,16440,5836200
43,560,216,15,20,16440,7562400
44,560,216,15,25,18450,5073750
44,560,216,15,25,18450,6549750
44,560,216,15,25,18450,8487000
45,560,270,9,15,12870,3539250
45,560,270,9,15,12870,4568850
45,560,270,9,15,12870,5920200
46,560,270,9,20,15480,4257000
46,560,270,9,20,15480,5495400
46,560,270,9,20,15480,7120800
47,560,270,9,25,18090,4974750
47,560,270,9,25,18090,6421950
47,560,270,9,25,18090,8321400
48,560,270,12,15,14460,3976500
48,560,270,12,15,14460,5133300
48,560,270,12,15,14460,6651600
49,560,270,12,20,17040,4686000
49,560,270,12,20,17040,6049200
49,560,270,12,20,17040,7838400
50,560,270,12,25,19620,5395500
50,560,270,12,25,19620,6965100
50,560,270,12,25,19620,9025200
51,560,270,15,15,16050,4413750
51,560,270,15,15,16050,5697750
51,560,270,15,15,16050,7383000
52,560,270,15,20,18600,5115000
52,560,270,15,20,18600,6603000
52,560,270,15,20,18600,8556000
53,560,270,15,25,21150,5816250
